,Time (s),Frequency,Swara
0,0.0,408.0,R
1,0.04,394.0,r
2,0.08,401.0,r
3,0.12,408.0,R
4,0.16,424.0,R
5,0.2,469.0,G
6,0.24,469.0,G
7,0.28,490.0,M
8,0.32,551.0,P
9,0.36,538.0,M*
10,0.4,538.0,M*
11,0.44,538.0,M*
12,0.48,538.0,M*
13,0.52,630.0,D
14,0.56,630.0,D
15,0.6,630.0,D
16,0.64,630.0,D
17,0.68,630.0,D
18,0.72,649.0,n
19,0.76,689.0,N
20,0.8,711.0,N
21,0.84,711.0,N
22,0.88,689.0,N
23,0.92,649.0,n
24,0.96,630.0,D
25,1.0,630.0,D
26,1.04,630.0,D
27,1.08,565.0,P
28,1.12,538.0,M*
29,1.16,538.0,M*
30,1.2,525.0,M*
31,1.24,538.0,M*
32,1.28,538.0,M*
33,1.32,551.0,P
34,1.36,513.0,M*
35,1.4,469.0,G
36,1.44,469.0,G
37,1.48,501.0,M
38,1.52,538.0,M*
39,1.56,538.0,M*
40,1.6,538.0,M*
41,1.64,538.0,M*
42,1.68,538.0,M*
43,1.72,612.0,D
44,1.76,630.0,D
45,1.8,649.0,n
46,1.84,668.0,n
47,1.88,649.0,n
48,1.92,630.0,D
49,1.96,649.0,n
50,2.0,689.0,N
51,2.04,735.0,S
52,2.08,711.0,N
53,2.12,689.0,N
54,2.16,689.0,N
55,2.2,711.0,N
56,2.24,760.0,S
57,2.28,760.0,S
58,2.32,394.0,r
59,2.36,394.0,r
60,2.4,788.0,r
61,2.44,788.0,r
62,2.48,788.0,r
63,2.52,735.0,S
64,2.56,760.0,S
65,2.6,387.0,r
66,2.64,387.0,r
67,2.68,760.0,S
68,2.72,387.0,r
69,2.76,361.0,N
70,2.8,350.0,N
71,2.84,350.0,N
72,2.88,387.0,r
73,2.92,361.0,N
74,2.96,711.0,N
75,3.0,689.0,N
76,3.04,630.0,D
77,3.08,630.0,D
78,3.12,630.0,D
79,3.16,551.0,P
80,3.2,538.0,M*
81,3.24,538.0,M*
82,3.28,538.0,M*
83,3.32,596.0,d
84,3.36,630.0,D
85,3.4,630.0,D
86,3.44,630.0,D
87,3.48,630.0,D
88,3.52,131.0,M*
89,3.56,320.0,D
90,3.6,130.0,M*
91,3.64,266.0,M*
92,3.68,88.0,N
93,3.72,306.0,D
94,3.76,245.0,M
95,3.8,235.0,G
96,3.84,490.0,M
97,3.88,525.0,M*
98,3.92,538.0,M*
99,3.96,538.0,M*
100,4.0,538.0,M*
101,4.04,538.0,M*
102,4.08,538.0,M*
103,4.12,538.0,M*
104,4.16,538.0,M*
105,4.2,538.0,M*
106,4.24,262.0,M*
107,4.28,262.0,M*
108,4.32,78.0,D
109,4.36,230.0,G
110,4.4,479.0,G
111,4.44,479.0,G
112,4.48,479.0,G
113,4.52,479.0,G
114,4.56,490.0,M
115,4.6,394.0,r
116,4.64,394.0,r
117,4.68,394.0,r
118,4.72,408.0,R
119,4.76,394.0,r
120,4.8,356.0,N
121,4.84,356.0,N
122,4.88,374.0,S
123,4.92,380.0,S
124,4.96,361.0,N
125,5.0,320.0,D
126,5.04,315.0,D
127,5.08,324.0,n
128,5.12,380.0,S
129,5.16,380.0,S
130,5.2,356.0,N
131,5.24,350.0,N
132,5.28,350.0,N
133,5.32,356.0,N
134,5.36,356.0,N
135,5.4,380.0,S
136,5.44,387.0,r
137,5.48,394.0,r
138,5.52,394.0,r
139,5.56,387.0,r
140,5.6,387.0,r
141,5.64,387.0,r
142,5.68,394.0,r
143,5.72,387.0,r
144,5.76,387.0,r
145,5.8,387.0,r
146,5.84,380.0,S
147,5.88,394.0,r
148,5.92,387.0,r
